"topicIds","topicCategories","commentCount","viewCount","videoCount","subscriberCount","hiddenSubscriberCount","video_topic_cats","video_relevant_topic_ids","video_tags","avg_comment_count","avg_view_count","avg_favorite_count","avg_like_count","avg_dislike_count","avg_video_duration","avg_title_length","avg_description_length","avg_posting_time","sd/hd_ratio","projection_ratio","caption_ratio","licensed_content_ratio","3d/2d_ratio"
"[u'/m/025zzc', u'/m/0bzvm2']","[u'https://en.wikipedia.org/wiki/Video_game_culture', u'https://en.wikipedia.org/wiki/Action_game']","14223","1537522139","1661","3746871",False,"https://en.wikipedia.org/wiki/Music+https://en.wikipedia.org/wiki/Role-playing_video_game+https://en.wikipedia.org/wiki/Entertainment+https://en.wikipedia.org/wiki/Action-adventure_game+https://en.wikipedia.org/wiki/Video_game_culture+https://en.wikipedia.org/wiki/Action_game+https://en.wikipedia.org/wiki/Television_program","/m/0bzvm2+/m/02ntfj+/m/0403l3g+/m/02jjt+/m/025zzc+/m/04rlf+/m/0f2f9","overwatch+pirate ship+saves the world+deadline+cooperative+skin+Sunday Drive+Trivia+sports car+ah livestream+silencers+minecraft multiplayer+Rifle+Gavin Free+Matt Bragg+coop+Dr. Jones+Last Man Standing Shooter+Jeremy's ghost+Expert Mode+four wheeler+Co-op surgery+Null Sector+heist+race+Velvet Shell+H1Z1+set up+grand theft auto 5+Inbetweeners+Reinhardt+parachuting+first person shooter+Giant Foot+racing+guns+Overwatch Uprising+helmets+Mo+jewelry store+Uprising Loot Boxes+grand theft auto v+china+oceancraft+let's play live+ryan haywood+box+Cunning Stunts+espace+Criminal Masterminds+Player Unknown Battleground+grand theft auto+defeat+action+video game+minecraft+Legendary Mode+episode 21+Finale+kinessa+Glide+third part+Super Fuel+Let's Play VR+under water temple+hydra+player unknown+crab+jeremy dooley+Uprising brawl+Surgeon Simulator+achievement guide+Fight to the death+tnt+car+setup+anglerfish+new maps+shark+police station+The End+stream+achievement city+parachute+cows+Dayz+rainbow 6 siege+Mo'Chievements+fps+interview+comedy+Glider+sim+flashbang+briefcase+dark monopoly+Jack Box+rocket voltic+sneak+plane+adventure+Elytra+cloud barry+robot+dragon+Fill in the blank game+hasta la vista+Horse+Jeopardy+inbetweeners 2+gta+Battlegrounds+highlights+bill nye+seige+technical difficulties+ep 21+Mercy+Overwatch update+cloudbarry+let's play+cage+minecraft gameplay+stunts+cow dispencer+cloud berry+crab people+pirates+gaming+four person teams+mockumentary+shipping container+Ghost Recon Wildlands+islanders+multiplayer+laylee+four maps+acting+smog+ender dragon+Lindsay Jones+Rainbow Six+GTA heists+prison break+part five+AH Sunday Drive+day z+gta v online+gameplay+british+winner+MoChievements+part four+Player Unknown's Battlegrounds+Party Game+Uprising+Trivia Show+special vehicles+flamethrower+the end+Trivia Game+bank heist+geoff ramsey+Hard Mode+jeremy wins+Lannan Eacott+cops+platformer+livestream+Dr. Free+bum cheese+under the sea+heists+rocket car+uniforms+five player+Tame+amphibious+human labs+viktor+build+action adventure+online+Battle Royale+Overwatch brawl+Shooter+prisoner+achievement+webcam+Overwatch+Vader+uncircumcised+Jack Pattillo+facecam+ruiner 2000+the end... again...+Nicki Minaj+headshot+live stream+cosmetic skins+big foot+Torbj\xf6rn+skye+Overwatch uprising brawl+Use Your Words+muscle car+Finding Bigfoot+Brain Surgery+ghast tears+lets play+Lava Bucket+Stories+Bigfoot+James Buckley+crabs+bat+spikes+fourth part+teams+losers+battlegrounds+steal+humans+payday 2+Mass Effect+sea+fail+the nether+points+farmers+Monopoly+rings+tyra+Big Socks+playerunknown+helicopters+Geoff Sunday Drive+Race+Player Unknown Battlegrounds+part 3+part 5+part 4+Jeremy Dooley+unkown soldier+blazer+you need a mint+michael jones+gavin scared+aqua+slogans+paladins+bots+Xbox Live+chinese mythology+Geoff Ramsey+hightlights+virtual reality+pt 21+helicopter+gta 5 online+rainbow 6+offfense defense+Completed It Mate+Hotseat+iron belly+co op+stolen+valkyrie+surgeon sim+armored vehicles+gta 5 gameplay+lizard+elytra+natives+fifth part+third episode+vr+PlayerUnknown Battleground+gta v+yooka+terrorist+Michael Jones+GTA Sunday Drive+htc vive+lava+VReal+yeti+wet works+paladin+smoke+Shotgun+arctic+sunken ship+Uprising update+whale+Tracer+Ryan Haywood+Yooka Laylee+gta 5+youtuber+moba+kraken+game+ocean+game play+money+King\u2019s Row+more achievements+sting ray+part III+jack pattillo+hunger games+open world+survival+Jackbox+best rounds+bus schedule+hunt+xbox+garage+robbery+More Problems+Quiz show+Arcade+simulator+Lawrence Sonntag+grenades+Achievement Hunter+jewelry+Siege+drogoz+fog+Use Your Words Gameplay+jumps+Heists+McDonalds+minigame+quills+bank robbing+Generation+island+ambush+Jeopardy Video Game+Saddle Up+Trevor Collins+guard+Ghost Recon Wildlands Sunday Drive+sneaky+whales+double gold+fight+stealth+Sasquatch+Use Your Words Game+Standalone+bus+Battle Buddies+Bruce Greene+Alex Trebek+vive+suitcase+Special+covert+pip+cassie+Game show+gavin robbed+actor+xbox one+Cloudberry Kingdom+imponte ruiner+rare achievement+AH+humane raid+Andromeda+ender city+steal diamonds+part 21+emotes",1064.0,371902.36,0.0,7255.96,427.52,2748.88,47.68,1561.48,48387.36,0.0,0.0,0.04,0.0,0.0
"[u'/m/025zzc', u'/m/0bzvm2']","[u'https://en.wikipedia.org/wiki/Action_game', u'https://en.wikipedia.org/wiki/Video_game_culture']","9","86762289","5901","405537",False,"https://en.wikipedia.org/wiki/Role-playing_video_game+https://en.wikipedia.org/wiki/Hobby+https://en.wikipedia.org/wiki/Video_game_culture+https://en.wikipedia.org/wiki/Action_game+https://en.wikipedia.org/wiki/Lifestyle_(sociology)","/m/025zzc+/m/0bzvm2+/m/019_rr+/m/0403l3g+/m/03glg","ps++james mcgregor+things to do+funny moments+fallout new vegas+funhaus+achievement hunter+screw attack+mob manipulation+highlights+jack pattillo+minigames+versus+hunter+lets play+fan+gmod+fallout+mod+sharpshooter+dead by daylighty+age of empires+playstation+custom creations+art+custom map+lets watch+garrys mod+creatures+arguements+rooster teeth+review+sniper elite 4+screwattack+halo 5+plush+RWBY+game bug+compilation+titanfall+gameplay+minigame+sex swing band+cow+michael jones+secrets+chop+plus+minecraft+wysp+game with playstion plus+thecreaturehub+community+sex swing animation+glitch+custom maps+james willems+kinda funny+fanart+race map+best bits+attack+jeremy dooley+geoff ramsey+speed art+dead by daylight+slimecube+mad god ryan+things to do in+telltale games+let's watch+ryan haywood+farming simulator+fan art+lets play highlights+minecraft mobs+february 2017+cow chop+TWD+lets play community+gow 4+funny+easter eggs+gears of war+madking ryan+testical shot+dan jennings+screw+maps+animation+forge+gavin free+why you should play+gta v+banter+best of achievement hunter+kinda+achievement+free games+layers of fear+speed sew+black ops 3+funny bits+crafts+trick shots",44.44,26953.8,0.0,432.28,14.24,538.72,35.92,524.12,58231.24,0.0,0.0,0.0,0.0,0.0
"[u'/m/025zzc', u'/m/0bzvm2']","[u'https://en.wikipedia.org/wiki/Video_game_culture', u'https://en.wikipedia.org/wiki/Action_game']","856","75836712","3139","408633",False,"https://en.wikipedia.org/wiki/Sports_game+https://en.wikipedia.org/wiki/Role-playing_video_game+https://en.wikipedia.org/wiki/Video_game_culture+https://en.wikipedia.org/wiki/Action_game","/m/025zzc+/m/0bzvm2+/m/0403l3g+/m/022dc6","mass effect andromeda goldglove+Prey 2017 Mission 1+GoldGloveLetsPlay+mlb road to the show+road to the show+mission+mass effect+mass effect andromeda+Prey PS4 Pro+Prey 2017 Gameplay+goldglove road to the show+mlb 17+lets play+renegade+goldglove+how to+Prey 2017 Campaign+mlb the show 17+road to the show 17+mlb the show 17 road to the show+Prey GoldGlove+the show 17+mlb the show+humor+weapons+Limbo+Prey Gameplay Part 1+tips+Little Nightmares+mass effect walkthrough+andromeda+gameplay walkthrough+Prey Game+nightmares+andromeda goldglove+part 1+gameplay+missions+me andromeda+Walkthrough+draft day+Prey 2017 Part 1+andromeda gameplay+Little+Prey Review+paragon+walkthrough+Prey Reaction+michael king+goldgloveletsplays+Prey Xbox One S+peebee+Prey Walkthrough Part 1+Prey 2017 Review+draft+mlb gameplay+goldglovetv+Funny Moments+Lets Play+GoldGLoveTV+champions+mlb+Gameplay+missions guide+classes+60fps+guide+Prey Part 1+GoldGlove Lets Play Prey+Prey+funny+pathfinder+Lets play+comedy+GoldGlove+mlb the show 17 gameplay+rtts 17+mass effect andromeda walkthrough+Prey 2017+Prey Gameplay+mass effect andromeda gameplay+Playthrough+tricks+ryder+Prey Ending+storyline+mass effect andromeda lets play+mass effect: andromeda+world series+mlb the show rtts",29.28,10254.56,0.0,248.56,4.52,2306.92,77.52,593.28,64647.12,0.0,0.0,0.0,0.0,0.0
"[u'/m/0bzvm2', u'/m/0bzvm2']","[u'https://en.wikipedia.org/wiki/Video_game_culture']","0","2676276","17","103451",False,"https://en.wikipedia.org/wiki/Film+https://en.wikipedia.org/wiki/Technology+https://en.wikipedia.org/wiki/Entertainment+https://en.wikipedia.org/wiki/Lifestyle_(sociology)+https://en.wikipedia.org/wiki/Sports_game+https://en.wikipedia.org/wiki/Video_game_culture+https://en.wikipedia.org/wiki/Action_game","/m/019_rr+/m/0bzvm2+/m/022dc6+/m/02jjt+/m/07c1v+/m/025zzc+/m/02vxn","fifa+Matt+playstation 4+help+rocket+moments+until dawn ps4+forfeit+scariest moments+Beyonce+mission+ending+live stream+best moves+decisions+playstation 4 vr+roxetera+PS VR+Liverpool+console+cutscenes+josh+gronkh+until dawn rush of blood+no man\u2019s sky gameplay+until dawn playthrough+match+Ashley+sci-fi+reveal+horror+funniest moments+ps4 vr+dark+game+let's play+jack+new+LPG+sony+girl gamers+until dawn gameplay+Playstation+until dawn review+best dribble+Sam+level+how to+Don't Breathe+controllers+no mans sky+rosie spaughton+lesbians+team+release+Until Dawn+steam+UFC 2+PlayStation+video games+beginner+knockout+set up+jump+best gameplay+dumb+fail+Girl Gamers+choices+sean murray+psycho+PS4+jessica+headset+practice+gamers+space+movie+review+BriaandChrissy+ps4+hilarious+no man sky+Sony+The London Heist+boost+achievements+finale+trick shot+Let's Play Games+unlockables+boobs+Resident Evil 7+Xbox+rush of blood+XBox One+Rose Ellen Dix+part 1+part 3+part 2+gameplay+movie games+box+league+the analyst+Ocean Descent+launch+Quick Fight+universe+PSVR+brutal+goriest moments+awesome goal+defeat+horror games+video game+until dawn+scare+jump scare+until dawn (video game)+playthrough+core bundle+overview+best goals+Rush of Blood+walkthrough+cheats+donald trump+until dawn ps4 gameplay+strip+virtual reality+wager+no mans sky gameplay+Rose and Rosie+psvr gameplay+Resident Evil+top+deaths+fast+fight+pc+reindeer+horror movie+until+lets play games+Gameplay+roseellendix+scary+no man\u2019s sky trailer+scary game+hello games+gore+until dawn walkthrough+Chelsea+hints+unboxed+save+let's play games+biohazard+no mans sky review+fifa 17+fire tower+unboxing+until dawn all cutscenes+outcome+guide+Lemonade+TheRoxetera+no man\u2019s sky part 1+resident+demo+pro+rose and rosie+Josh+until dawn part 1+death+exploration+horror game+playstation vr+film+until dawn killer+best walkthrough+funny+psvr camera+Walkthrough+in the box+virtual+ps vr+robinson the journey+test+commentary+comedy+no man\u2019s sky ending+gaming+galaxy+power shot+no man\u2019s sky review+reaction+chart+evil+react+ion+VR+let\u2019s play+matt+chris+survival horror (media genre)+Freelee+killer+thriller+resident evil 7+no man\u2019s sky playthrough+PSVR unboxing+live action game+yogscast+no man\u2019s sky tutorial+dumbest moments+game play+funniest+ultimate+until dawn ending+Mike+what you get+RoseEllenDix+Emily",728.8823529411765,152099.64705882352,0.0,7320.411764705882,107.3529411764706,707.0,32.05882352941177,866.8823529411765,65745.058823,0.0,0.0,0.06,0.0,0.0
"[u'/m/0bzvm2', u'/m/0bzvm2']","[u'https://en.wikipedia.org/wiki/Video_game_culture']","450436","2240600928","9340","4601318",False,"https://en.wikipedia.org/wiki/Role-playing_video_game+https://en.wikipedia.org/wiki/Video_game_culture+https://en.wikipedia.org/wiki/Action_game+https://en.wikipedia.org/wiki/Entertainment","/m/025zzc+/m/0bzvm2+/m/02jjt+/m/0403l3g","Gronkh Vlog+Terrorist+Lets Play Outlast 2+Horizon PS4+Outlast+Vlog Gronkh+Mitgenommen Gronkh+Trouble in Terrorist Town+Gronkh+After Humans+Gronkh Outlast 2+Bethesda Prey+Prey+Bethesda+Outlast 2 Gameplay+Minecraft Gronkh+Glog+Prey L\xf6sung+Minecraft After Humans+PS4+Minecraft Mods+TTT Download+TTT Cheats+Prey Bethesda+Prey Let's Play+Gronkh Minecraft+Horizon: Zero Dawn+Zero+TTT+Trouble in Terrorist Town Cheats+Outlast 2 Walkthrough+Prey Gronkh+Trouble in Terrorist Town Download+Gronkh Prey+Trouble+Mitgenommen+Gameplay+Mods+Town+Horizon Gameplay+Let's Play Prey+Zero Dawn+Prey 2017+Prey Gameplay+Glog Gronkh+Vlog+Outlast 2+Gronkh Modpack+Horizon Gronkh+Gronkh Horizon+Gronkh Mitgenommen+TTT Gameplay+Horizon+Horizon - Zero Dawn+Lets Play Horizon+Outlast 2 Gronkh+Minecraft+Dawn+Horizon Lets Play+L\xf6sung+Trouble in Terrorist Town Gameplay+Gronkh Glog+Humans+After+Walkthrough+Cheats+Outlast 2 L\xf6sung+Download+Horizon Walkthrough+Prey Walkthrough",564.64,141576.32,0.0,5967.76,75.0,2091.04,50.44,1390.32,58077.72,0.0,0.0,0.0,0.0,0.0
"[u'/m/02vx4', u'/m/06ntj']","[u'https://en.wikipedia.org/wiki/Association_football', u'https://en.wikipedia.org/wiki/Sport']","0","566890","60","13965",False,"https://en.wikipedia.org/wiki/Society+https://en.wikipedia.org/wiki/Association_football+https://en.wikipedia.org/wiki/Religion+https://en.wikipedia.org/wiki/Sport","/m/098wr+/m/06ntj+/m/02vx4+/m/06bvp","\u0645\u0627\u0646\u0634\u064a\u0633\u062a\u0631+Qatar+\u0635\u0627\u062d\u064a+\u0643\u0631\u0629 \u0642\u062f\u0645+Kuwait+\u0627\u0644\u0643\u0648\u064a\u062a+\u0643\u0631\u064a\u0633\u062a\u064a\u0627\u0646\u0648+Real madred+\u0645\u062d\u0645\u062f \u0627\u0628\u0648 \u0627\u0644\u0631\u0648\u0633+milan+liverpool+\u0631\u0648\u0646\u0627\u0644\u062f\u0648+\u0627\u0644\u0647\u0644\u0627\u0644+\u063a\u0648\u0627\u0631\u062f\u064a\u0648\u0644\u0627+\u0645\u0648\u0631\u064a\u0646\u0647\u0648+\u0633\u0628\u0648\u0631\u062a \u0633\u0627\u064a\u062f+\u0642\u0637\u0631+Saudi Arabia+\u062e\u0645\u0628\u0644\u0647+\u062f\u0628\u064a+\u0627\u0644\u0646\u0635\u0631+\u062f\u0648\u0631\u064a \u0639\u0628\u062f\u0627\u0644\u0644\u0637\u064a\u0641 \u062c\u0645\u064a\u0644+sports+messi+\u0627\u0644\u0627\u0647\u0644\u064a+\u0631\u064a\u0627\u0636\u0629+\u0627\u0644\u062f\u0648\u062d\u0647+\u0632\u064a\u062f\u0627\u0646+Dubai+\u0644\u064a\u0641\u0631\u0628\u0648\u0644+\u0627\u0644\u0633\u0639\u0648\u062f\u064a\u0629+Ronaldo+football+Barcelona+\u0645\u064a\u0644\u0627\u0646+\u0631\u0648\u0645\u0627+Doha+Messi+\u0627\u0646\u062a\u0631+\u0633\u0648\u0627\u0631 \u0634\u0639\u064a\u0628+\u0631\u064a\u0627\u0644 \u0645\u062f\u0631\u064a\u062f+\u0628\u0631\u0634\u0644\u0648\u0646\u0647+Real madrid+\u0627\u0644\u0627\u062a\u062d\u0627\u062f+KSA+\u0645\u064a\u0633\u064a+inter",9.2,1063.8,0.0,64.12,3.48,253.52,7.6,12.32,9134.88,0.5,0.0,0.0,0.0,0.0
"[u'/m/0bzvm2', u'/m/0bzvm2']","[u'https://en.wikipedia.org/wiki/Video_game_culture']","14","153823","27","5391",False,"https://en.wikipedia.org/wiki/Knowledge+https://en.wikipedia.org/wiki/Video_game_culture+https://en.wikipedia.org/wiki/Action_game+https://en.wikipedia.org/wiki/Simulation_video_game+https://en.wikipedia.org/wiki/Music","/m/025zzc+/m/0bzvm2+/m/021bp2+/m/01k8wb+/m/04rlf","Altered Destiny+Video Games+Rebecca Heinemann+Vintage+Apple IIGS+Dallas Quest+Sunglasses Owl+Appendicitis+Dream Zone+The Colonel's Bequest (Video Game)+escape from rungistan+Sierra+DOS+Life & Death+Apple IIe+Mystery House+Gaming+Lo Fi Let's Play+Skeksis+Labyrinth+Adventure Games+Dallas+Colonel's Bequest+Emmanuelle+Lo-Fi Let's Plays+Vintage Gaming+Lucasfilm Games+The Alpine Encounter+sirius software+David Bowie+Video Game Culture+Carmen Sandiego (Fictional Character)+Vintage games+vintage computing+Simulation+Tass Times in Tonetown+let's play+Games+Gelflings+lo-fi let's play+Vintage Games+Insolence+The Quest+Apple IIGS (Video Game Platform)+Lo-Fi Let's Play+Gruds in Space+Virtual Apple+Elevators+Dallas Snell+Coveted Mirror+Who Shot JR+Let's Play+Neuromancer+The Dark Crystal+Loom (Video Game)+Critical Mass+Mystics+Computer Games+adventure games",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[u'/m/025zzc', u'/m/0bzvm2']","[u'https://en.wikipedia.org/wiki/Video_game_culture', u'https://en.wikipedia.org/wiki/Action_game']","159","48936325","4809","129365",False,"https://en.wikipedia.org/wiki/Role-playing_video_game+https://en.wikipedia.org/wiki/Action-adventure_game+https://en.wikipedia.org/wiki/Video_game_culture+https://en.wikipedia.org/wiki/Action_game+https://en.wikipedia.org/wiki/Lifestyle_(sociology)","/m/025zzc+/m/0bzvm2+/m/02ntfj+/m/019_rr+/m/0403l3g","beat em up+prey part 1+let's play the forest+german+kona+let's play zelda+gregor kartsios+school beat em up+counter strike global offensive+nintendo switch+nemesis+the forest game+pray+forest game+outlast 2 playthrough+horror game+let's play resident evil 3 nemesis+hunger games+etienne+nioh walkthrough+kona walkthrough+survival+outlast+rival school+spiele mit bart+lets play+game+let's play+hunger games game+let's play zelda breath of the wild+prey 2017+samurai+kona game+playerunknown+zombies+outlast 2+battlegrounds+bart+deutsch+otulast 2 horror game+nioh playthrough+versus+Rocket Beans TV+lets play zelda breath of the wild+ni oh+retro games+worst games+legend of zelda breath of the wild+nioh+the hunger games+zombie+breath of the wild+ranked+Tony Hawk's Pro Skater 2+let's play outlast 2+gameplay+g police+legend of zelda+simon kr\xe4tschmer+lets play outlast 2+jugend zimmer+samurai game+beans+nioh let's play+horror games+playthrough+prey 2017 gameplay+one+nioh game+jugend+gameone+lets play prey+unknown+prey+strike+playerunknowns battlegrounds+budi+kona playthrough+walktrough+yt:quality=high+zimmer+survival game+skate game+prey game+csgo+team limited+the forest survival game+walkthrough+nils bomhoff+let's play prey+prey xbox one+best games+let's play playerunknowns battlegrounds+prey rocketbeans+prey review+retro gaming+prey 2017 walkthrough+lets play kona+prey ps4+zombie game+player+counter strike+future cop game+players+lets play the forest+kona gameplay+zelda+survival horror game+outlast 2 walkthrough+nioh gameplay+horror genre+nightcry+let's play kona+horror+gaming+let's play nightcry+games+the forest walkthrough+Future Cop: LAPD+mashed+nils+beanstag+lets play nightcry+survival horror+let's play the legend of zelda breath of the wild+spiele+rocketbeans+the forest+simon+lets play resident 3 nemesis+resident evil 3+resident evil+nioh lets play+counter+lets play nioh+let's play nioh+switch+prey walkthrough+Tony Hawk game",58.76,9181.48,0.0,332.12,24.68,3803.56,73.12,458.2,62134.68,0.0,0.0,0.0,0.0,0.0
